"","Target","Correlation","Slope","r","p","q"
"1267","HTR2B","ZSCAN5A",0.109149640145698,0.131599128293863,0.0020408168526723,0.0420800165718535
"1268","HTR2B","PRL",0.127091318795628,0.115635050326509,0.00211913752520125,0.0420800165718535
"1269","HTR2B","ZNF771",-0.119990506907733,-0.129688338402166,0.00237317574889057,0.0449824676039712
"1270","HTR2B","ZIM3",0.11586788989029,0.126427277183945,0.00305633383373262,0.0554126612463697
"1271","HTR2B","HOXA2",0.107490436523422,0.110921068765295,0.00325328912056002,0.0565258984697303
"1272","HTR2B","ZNF425",0.127293961294091,0.153358999144281,0.00430250493745392,0.0705501450533667
"1273","HTR2B","HES7",0.0926304849961259,0.146373083173113,0.00445282651982491,0.0705501450533667
"1274","HTR2B","SOX4",0.105696658227541,0.106764978519829,0.00462831793541535,0.0705501450533667
"1275","HTR2B","ZBTB47",0.113019478047105,0.11603258066233,0.00473718000358337,0.0705501450533667
"1276","HTR2B","FLI1",0.078484732238422,0.105579955596882,0.00510684780073042,0.0734329494105029
"1277","HTR2B","ZNF551",-0.118300494037872,-0.10513322526926,0.00533122973286793,0.0741040932868643
"1278","HTR2B","ZNF669",-0.0941291411044739,-0.118262210196504,0.00561739328086007,0.0755629999393112
"1279","HTR2B","PAX5",0.0998535388592225,0.103215852064239,0.00619696161401835,0.0760039115601662
"1280","HTR2B","IRF8",0.0960836352738875,0.10393324466112,0.0058459131206138,0.0760039115601662
"1281","HTR2B","IRF1",-0.0856610410349796,-0.103458361229576,0.00607622824953398,0.0760039115601662
"1282","HTR2B","SIM2",0.0839123720414878,0.10266727608211,0.00647805822543689,0.0771814365716339
"1283","HTR2B","ZIC5",0.0828112388663127,0.101751620251075,0.00697282560843587,0.078585629154534
"1284","HTR2B","KLF6",-0.0937908141329308,-0.101853028626321,0.00691641030970474,0.078585629154534
"1285","HTR2B","DDIT3",-0.0946961662288387,-0.0994574882232104,0.00836430691222989,0.0917872626947333
"1286","HTR2B","TBX22",0.0755395653770346,0.110060950968203,0.00999360348872988,0.104418844468536
"1287","HTR2B","HOXD10",-0.0703795655850322,-0.0971404461919697,0.0100161961120898,0.104418844468536
"1288","HTR2B","ZNF701",0.0984064136644901,0.109528849527552,0.0103616521482884,0.105385584044786
"1289","HTR2B","TFAP2D",-0.101926049385373,-0.0953276041641315,0.0115045558159663,0.114223804172808
"1290","HTR2B","STAT6",0.0853993295291332,0.0948695030352465,0.0119103687411177,0.115502878256886
"1291","HTR2B","GFI1B",-0.0816118201496972,-0.106846789474226,0.0124059904929086,0.116205724019683
"1292","HTR2B","SP3",0.077913452052704,0.0941148830379864,0.0126065128547097,0.116205724019683
"1293","HTR2B","ZNF610",0.0811104879030032,0.106353142826288,0.0128188568462959,0.116205724019683
"1294","HTR2B","BACH1",0.093734127001371,0.0929321557586844,0.0138377903679957,0.122773586882004
"1295","HTR2B","ZSCAN29",0.0960467377304716,0.10457300438448,0.0144101319227122,0.125188021078563
"1296","HTR2B","ZFHX3",0.0843552573664647,0.0904247394151362,0.0165538244855767,0.139693215388048
"1297","HTR2B","ZEB2",0.0732823662653129,0.0902625539364154,0.0167497860177515,0.139693215388048
"1298","HTR2B","TBX20",0.0961744984632764,0.089129242099862,0.018176717361711,0.148621394898695
"1299","HTR2B","ZNF880",0.118418769795165,0.136956882279859,0.0205072384223317,0.161349404190798
"1300","HTR2B","ZNF256",0.0955088414552147,0.0992721904358897,0.0202217110128251,0.161349404190798
"1301","HTR2B","ZNF514",-0.0787690004405685,-0.0966335124315939,0.0238095137534752,0.183862356207391
"1302","HTR2B","SOX2",0.0856234250996085,0.0857558167597653,0.0243824409406405,0.184863234040856
"1303","HTR2B","MYC",0.058096518314678,0.0845994776584749,0.0249929232109099,0.18610801748124
"1304","HTR2B","XBP1",0.0812594588158257,0.0842985408672342,0.0255153288246449,0.186664774032929
"1305","HTR2B","RERG",-0.0732958789711219,-0.0837049751726237,0.0263580106173751,0.187675562149281
"1306","HTR2B","ZNF264",0.0831615412011286,0.0948387054596591,0.0265536167069726,0.187675562149281
"1307","HTR2B","ONECUT3",-0.0846553192120078,-0.113633287478122,0.0273711829170133,0.190229721273243
"1308","HTR2B","RASL10A",-0.0727053997782364,-0.0830539258563428,0.0278889464499746,0.1906506667154
"1309","HTR2B","RALA",0.0585021427830474,0.0824007708390645,0.0290317981467205,0.195262255277136
"1310","HTR2B","CC2D1A",0.0625985197786155,0.0914749513770798,0.0324347639591953,0.214687247158483
"1311","HTR2B","RBPJ",0.0841919202512434,0.0796168931922521,0.034939258265944,0.227651104639041
